,champ,role,side,x,y,second
381,gragas,jgl,blue,0.35570469798657717,0.4090909090909091,64
380,zac,top,blue,0.21476510067114093,0.24025974025974026,64
383,missfortune,adc,blue,,,64
398,aphelios,adc,red,,,65
397,corki,mid,red,,,65
396,trundle,jgl,red,,,65
395,ornn,top,red,0.4899328859060403,0.2077922077922078,65
399,janna,sup,red,0.8993288590604027,0.6038961038961039,65
393,missfortune,adc,blue,,,65
392,azir,mid,blue,0.4966442953020134,0.5194805194805194,65
391,gragas,jgl,blue,,,65
390,zac,top,blue,0.2080536912751678,0.22077922077922077,65
394,braum,sup,blue,0.8926174496644296,0.7987012987012987,65
409,janna,sup,red,0.9060402684563759,0.6233766233766234,66
408,aphelios,adc,red,,,66
407,corki,mid,red,,,66
406,trundle,jgl,red,0.5167785234899329,0.33116883116883117,66
405,ornn,top,red,,,66
404,braum,sup,blue,0.912751677852349,0.8116883116883117,66
402,azir,mid,blue,0.4966442953020134,0.525974025974026,66
401,gragas,jgl,blue,,,66
400,zac,top,blue,0.2080536912751678,0.2012987012987013,66
403,missfortune,adc,blue,,,66
416,trundle,jgl,red,0.5302013422818792,0.3181818181818182,67
419,janna,sup,red,0.8926174496644296,0.5974025974025974,67
418,aphelios,adc,red,,,67
415,ornn,top,red,,,67
417,corki,mid,red,0.610738255033557,0.461038961038961,67
413,missfortune,adc,blue,,,67
410,zac,top,blue,,,67
411,gragas,jgl,blue,,,67
414,braum,sup,blue,0.9328859060402684,0.8246753246753247,67
412,azir,mid,blue,0.4966442953020134,0.538961038961039,67
420,zac,top,blue,0.20134228187919462,0.2012987012987013,68
421,gragas,jgl,blue,0.33557046979865773,0.44155844155844154,68
422,azir,mid,blue,0.4966442953020134,0.5324675324675324,68
423,missfortune,adc,blue,,,68
424,braum,sup,blue,,,68
425,ornn,top,red,,,68
426,trundle,jgl,red,0.5503355704697986,0.2987012987012987,68
427,corki,mid,red,,,68
428,aphelios,adc,red,,,68
429,janna,sup,red,0.8859060402684564,0.577922077922078,68
439,janna,sup,red,,,69
