renekton,cassiopeia,Seconds
"(86.0, 88.0)","(84.0, 70.0)",304
"(87.0, 86.0)","(85.0, 72.0)",305
"(88.0, 84.0)","(85.0, 72.0)",306
"(87.0, 78.0)","(86.0, 72.0)",307
"(86.0, 72.0)","(86.0, 72.0)",308
"(87.0, 70.0)","(87.0, 70.0)",309
"(85.0, 70.0)","(85.0, 70.0)",310
"(84.0, 72.0)","(84.0, 72.0)",311
"(85.0, 72.0)","(85.0, 72.0)",312
"(85.0, 70.0)","(85.0, 70.0)",313
"(85.0, 71.0)","(85.0, 71.0)",314
"(85.0, 72.0)","(85.0, 72.0)",315
"(84.0, 71.0)","(84.0, 71.0)",316
"(86.0, 70.0)","(86.0, 70.0)",317
"(87.0, 68.0)","(87.0, 68.0)",318
"(84.0, 67.0)","(84.0, 67.0)",319
"(86.0, 67.0)","(86.0, 67.0)",320
"(76.0, 74.0)","(86.0, 66.0)",321
"(78.0, 77.0)","(87.0, 66.0)",322
"(87.0, 65.0)","(87.0, 65.0)",323
"(86.0, 66.0)","(86.0, 66.0)",324
"(86.0, 68.0)","(86.0, 68.0)",325
"(85.0, 69.0)","(85.0, 69.0)",326
"(85.0, 70.0)","(85.0, 70.0)",327
"(84.0, 71.0)","(84.0, 71.0)",328
"(84.0, 73.0)","(84.0, 73.0)",329
"(83.0, 74.0)","(83.0, 74.0)",330
"(82.0, 75.0)","(82.0, 75.0)",331
"(82.0, 78.0)","(82.0, 78.0)",332
"(83.0, 82.0)","(83.0, 82.0)",333
"(84.0, 85.0)","(84.0, 85.0)",334
"(84.0, 86.0)","(84.0, 86.0)",335
"(83.0, 83.0)","(83.0, 83.0)",336
"(83.0, 79.0)","(83.0, 79.0)",337
"(83.0, 76.0)","(83.0, 76.0)",338
"(83.0, 74.0)","(83.0, 74.0)",339
"(85.0, 89.0)","(84.0, 72.0)",340
"(83.0, 85.0)","(84.0, 69.0)",341
"(83.0, 68.0)","(83.0, 68.0)",342
"(83.0, 68.0)","(83.0, 68.0)",343
"(83.0, 68.0)","(83.0, 68.0)",344
"(83.0, 69.0)","(83.0, 69.0)",345
"(82.0, 70.0)","(82.0, 70.0)",346
"(83.0, 70.0)","(83.0, 70.0)",347
"(82.0, 70.0)","(82.0, 70.0)",348
"(82.0, 69.0)","(82.0, 69.0)",349
"(83.0, 68.0)","(83.0, 68.0)",350
"(82.0, 68.0)","(82.0, 68.0)",351
"(80.0, 68.0)","(80.0, 68.0)",352
"(81.0, 68.0)","(81.0, 68.0)",353
"(80.0, 69.0)","(80.0, 69.0)",354
"(78.0, 69.0)","(78.0, 69.0)",355
"(77.0, 66.0)","(77.0, 66.0)",356
"(77.0, 67.0)","(77.0, 67.0)",357
"(76.0, 69.0)","(76.0, 69.0)",358
"(74.0, 71.0)","(74.0, 71.0)",359
"(72.0, 73.0)","(72.0, 73.0)",360
"(71.0, 76.0)","(71.0, 76.0)",361
"(72.0, 75.0)","(72.0, 75.0)",362
"(73.0, 73.0)","(73.0, 73.0)",363
"(74.0, 73.0)","(74.0, 73.0)",364
"(72.0, 74.0)","(72.0, 74.0)",365
"(73.0, 74.0)","(73.0, 74.0)",366
"(74.0, 74.0)","(74.0, 74.0)",367
"(71.0, 75.0)","(71.0, 75.0)",368
"(71.0, 74.0)","(71.0, 74.0)",369
"(71.0, 74.0)","(71.0, 74.0)",370
"(70.0, 74.0)","(70.0, 74.0)",371
"(72.0, 72.0)","(72.0, 72.0)",372
"(75.0, 69.0)","(75.0, 69.0)",373
"(77.0, 68.0)","(77.0, 68.0)",374
"(77.0, 68.0)","(77.0, 68.0)",375
"(77.0, 68.0)","(77.0, 68.0)",376
"(62.0, 83.0)","(77.0, 68.0)",377
"(63.0, 83.0)","(82.0, 63.0)",378
"(63.0, 83.0)","(87.0, 58.0)",379
